region,stock,year,assessment_related_considerations,ecosystem_considerations,fishery_informed_stock_considerations,population_dynamics_considerations,max_score,author_suggested_reduction,ssc_recommended_reduction
BSAI,AI Pcod,2018,,,,,,,
BSAI,AI Pcod,2019,1,2,1,1,2,Deferred,
BSAI,AI Pcod,2020,1,2,1,1,2,,
BSAI,AI Pcod,2021,2,2,1,1,2,,
BSAI,AI Pcod,2022,1,2,1,2,2,,
BSAI,AI Pcod,2023,1,2,1,2,2,,0.1
BSAI,AI Pcod,2024,1,2,1,2,2,,
BSAI,AI pollock,2018,,,,,,,
BSAI,AI pollock,2019,,,,,,,
BSAI,AI pollock,2020,1,1,1,1,1,,
BSAI,AI pollock,2021,,,,,,,
BSAI,AI pollock,2022,1,1,1,1,1,,
BSAI,AI pollock,2023,,,,,,,
BSAI,AI pollock,2024,1,1,1,1,1,,
BSAI,Bogoslof pollock,2018,,,,,,,
BSAI,Bogoslof pollock,2019,,,,,,,
BSAI,Bogoslof pollock,2020,1,1,1,1,1,,
BSAI,Bogoslof pollock,2021,,,,,,,
BSAI,Bogoslof pollock,2022,1,1,1,1,1,,
BSAI,Bogoslof pollock,2023,,,,,,,
BSAI,Bogoslof pollock,2024,1,1,1,1,1,,
BSAI,BSAI Alaska Plaice,2018,,,,,,,
BSAI,BSAI Alaska Plaice,2019,,,,,,,
BSAI,BSAI Alaska Plaice,2020,,,,,,,
BSAI,BSAI Alaska Plaice,2021,1,1,1,1,1,,
BSAI,BSAI Alaska Plaice,2022,,,,,,,
BSAI,BSAI Alaska Plaice,2023,,,,,,,
BSAI,BSAI Alaska Plaice,2024,1,1,1,1,1,,
BSAI,BSAI Arrowtooth flounder,2018,,,,,,,
BSAI,BSAI Arrowtooth flounder,2019,,,,,,,
BSAI,BSAI Arrowtooth flounder,2020,1,1,1,1,1,,
BSAI,BSAI Arrowtooth flounder,2021,,,,,,,
BSAI,BSAI Arrowtooth flounder,2022,1,1,1,1,1,,
BSAI,BSAI Arrowtooth flounder,2023,,,,,,,
BSAI,BSAI Arrowtooth flounder,2024,,,,,,,
BSAI,BSAI Atka Mackerel,2018,1,1,,1,1,,
BSAI,BSAI Atka Mackerel,2019,1,1,1,1,1,,
BSAI,BSAI Atka Mackerel,2020,1,1,1,1,1,,
BSAI,BSAI Atka Mackerel,2021,1,1,1,1,1,,
BSAI,BSAI Atka Mackerel,2022,2,2,1,1,2,,
BSAI,BSAI Atka Mackerel,2023,,,,,,,
BSAI,BSAI Atka Mackerel,2024,1,2,1,1,2,,
BSAI,BSAI Blackspotted / Rougheye,2018,,,,,,,
BSAI,BSAI Blackspotted / Rougheye,2019,,,,,,,
BSAI,BSAI Blackspotted / Rougheye,2020,3,1,2,2,3,,
BSAI,BSAI Blackspotted / Rougheye,2021,,,,,,,
BSAI,BSAI Blackspotted / Rougheye,2022,3,1,2,2,3,0.11,0.11
BSAI,BSAI Blackspotted / Rougheye,2023,,,,,,0.11,0.11
BSAI,BSAI Blackspotted / Rougheye,2024,2,1,2,2,2,,
BSAI,BSAI Flathead sole,2018,,,,,,,
BSAI,BSAI Flathead sole,2019,,,,,,,
BSAI,BSAI Flathead sole,2020,1,1,1,1,1,,
BSAI,BSAI Flathead sole,2021,,,,,,,
BSAI,BSAI Flathead sole,2022,,,,,,,
BSAI,BSAI Flathead sole,2023,,,,,,,
BSAI,BSAI Flathead sole,2024,1,1,1,1,1,,
BSAI,BSAI Greenland turbot,2018,,,,,,,
BSAI,BSAI Greenland turbot,2019,,,,,,,
BSAI,BSAI Greenland turbot,2020,1,2,1,1,2,,
BSAI,BSAI Greenland turbot,2021,,,,,,,
BSAI,BSAI Greenland turbot,2022,2,1,1,2,2,0.06,
BSAI,BSAI Greenland turbot,2023,,,,,,,
BSAI,BSAI Greenland turbot,2024,3,1,2,2,3,0.1,
BSAI,BSAI Kamchatka,2018,,,,,,,
BSAI,BSAI Kamchatka,2019,,,,,,,
BSAI,BSAI Kamchatka,2020,1,1,1,1,1,,
BSAI,BSAI Kamchatka,2021,,,,,,,
BSAI,BSAI Kamchatka,2022,2,1,1,1,2,,
BSAI,BSAI Kamchatka,2023,,,,,,,
BSAI,BSAI Kamchatka,2024,2,1,1,1,2,,
BSAI,BSAI Northern rockfish,2018,,,,,,,
BSAI,BSAI Northern rockfish,2019,2,2,1,1,2,,
BSAI,BSAI Northern rockfish,2020,,,,,,,
BSAI,BSAI Northern rockfish,2021,2,1,1,1,2,,
BSAI,BSAI Northern rockfish,2022,,,,,,,
BSAI,BSAI Northern rockfish,2023,2,1,1,2,2,,
BSAI,BSAI Northern rockfish,2024,,,,,,,
BSAI,BSAI NRS,2018,,,,,,,
BSAI,BSAI NRS,2019,,,,,,,
BSAI,BSAI NRS,2020,2,1,1,1,2,,
BSAI,BSAI NRS,2021,,,,,,,
BSAI,BSAI NRS,2022,3,1,1,1,3,0.23,0.23
BSAI,BSAI NRS,2023,,,,,,0.36,0.36
BSAI,BSAI NRS,2024,1,1,1,1,1,,
BSAI,BSAI Octopus,2018,,,,,,,
BSAI,BSAI Octopus,2019,1,1,1,1,1,,
BSAI,BSAI Octopus,2020,1,1,1,1,1,,
BSAI,BSAI Octopus,2021,,,,,,,
BSAI,BSAI Octopus,2022,,,,,,,
BSAI,BSAI Octopus,2023,1,1,1,1,1,,
BSAI,BSAI Octopus,2024,,,,,,,
BSAI,BSAI Other Flatfish,2018,,,,,,,
BSAI,BSAI Other Flatfish,2019,,,,,,,
BSAI,BSAI Other Flatfish,2020,1,1,1,1,1,,
BSAI,BSAI Other Flatfish,2021,,,,,,,
BSAI,BSAI Other Flatfish,2022,,,,,,,
BSAI,BSAI Other Flatfish,2023,,,,,,,
BSAI,BSAI Other Flatfish,2024,1,1,1,1,1,,
BSAI,BSAI Other rockfish,2018,,,,,,,
BSAI,BSAI Other rockfish,2019,,,,,,,
BSAI,BSAI Other rockfish,2020,2,1,1,1,2,,
BSAI,BSAI Other rockfish,2021,,,,,,,
BSAI,BSAI Other rockfish,2022,1,1,1,1,1,,
BSAI,BSAI Other rockfish,2023,,,,,,,
BSAI,BSAI Other rockfish,2024,2,1,2,2,2,,
BSAI,BSAI POP,2018,,,,,,,
BSAI,BSAI POP,2019,,,,,,,
BSAI,BSAI POP,2020,2,1,1,1,2,,
BSAI,BSAI POP,2021,,,,,,,
BSAI,BSAI POP,2022,2,1,1,1,2,,
BSAI,BSAI POP,2023,,,,,,,
BSAI,BSAI POP,2024,2,1,1,1,2,,
BSAI,BSAI Sculpins,2018,,,,,,,
BSAI,BSAI Sculpins,2019,,,,,,,
BSAI,BSAI Sculpins,2020,,,,,,,
BSAI,BSAI Sculpins,2021,,,,,,,
BSAI,BSAI Sculpins,2022,,,,,,,
BSAI,BSAI Sculpins,2023,,,,,,,
BSAI,BSAI Sculpins,2024,,,,,,,
BSAI,BSAI sharks,2018,,,,,,,
BSAI,BSAI sharks,2019,,,,,,,
BSAI,BSAI sharks,2020,2,1,1,2,2,,
BSAI,BSAI sharks,2021,,,,,,,
BSAI,BSAI sharks,2022,3,1,1,2,3,0.13,0.13
BSAI,BSAI sharks,2023,,,,,,0.13,0.13
BSAI,BSAI sharks,2024,,,,,,0.13,
BSAI,BSAI Shortraker rockfish,2018,,,,,,,
BSAI,BSAI Shortraker rockfish,2019,,,,,,,
BSAI,BSAI Shortraker rockfish,2020,1,1,1,1,1,,
BSAI,BSAI Shortraker rockfish,2021,,,,,,,
BSAI,BSAI Shortraker rockfish,2022,1,1,1,1,1,,
BSAI,BSAI Shortraker rockfish,2023,,,,,,,
BSAI,BSAI Shortraker rockfish,2024,2,1,1,1,2,,
BSAI,BSAI skates,2018,,,,,,,
BSAI,BSAI skates,2019,,,,,,,
BSAI,BSAI skates,2020,1,1,1,1,1,,
BSAI,BSAI skates,2021,,,,,,,
BSAI,BSAI skates,2022,,,,,,,
BSAI,BSAI skates,2023,2,1,1,1,2,,
BSAI,BSAI skates,2024,,,,,,,
BSAI,BSAI YFS,2018,,,,,,,
BSAI,BSAI YFS,2019,1,1,1,1,1,,
BSAI,BSAI YFS,2020,1,1,1,1,1,,
BSAI,BSAI YFS,2021,1,2,1,2,2,0.24,0.24
BSAI,BSAI YFS,2022,1,1,1,1,1,,
BSAI,BSAI YFS,2023,1,2,1,2,2,,
BSAI,BSAI YFS,2024,1,1,1,1,1,,
BSAI,EBS Pcod,2018,,,,,,,
BSAI,EBS Pcod,2019,1,2,1,1,2,Deferred,Ensemble
BSAI,EBS Pcod,2020,1,2,1,1,2,,
BSAI,EBS Pcod,2021,1,2,1,1,2,,
BSAI,EBS Pcod,2022,1,1,1,1,1,,
BSAI,EBS Pcod,2023,1,1,1,1,1,,
BSAI,EBS Pcod,2024,1,2,1,1,2,,
BSAI,EBS pollock,2018,1,2,,2,2,0.3,0.3
BSAI,EBS pollock,2019,1,2,2,2,2,0.43,0.43
BSAI,EBS pollock,2020,1,2,2,1,2,0.3,0.3
BSAI,EBS pollock,2021,2,2,2,2,2,0.11,0.11
BSAI,EBS pollock,2022,2,1,1,1,2,0.43,0.43
BSAI,EBS pollock,2023,1,2,1,1,2,0.18,0.18
BSAI,EBS pollock,2024,1,1,1,1,2,,
GOA,GOA Arrowtooth,2018,,,,,,,
GOA,GOA Arrowtooth,2019,1,2,1,1,2,,
GOA,GOA Arrowtooth,2020,,,,,,,
GOA,GOA Arrowtooth,2021,1,1,1,1,1,,
GOA,GOA Arrowtooth,2022,,,,,,,
GOA,GOA Arrowtooth,2023,,,,,,,
GOA,GOA Arrowtooth,2024,,,,,,,
GOA,GOA Deepwater Flatfish,2018,,,,,,,
GOA,GOA Deepwater Flatfish,2019,2,1,1,1,2,,
GOA,GOA Deepwater Flatfish,2020,,,,,,,
GOA,GOA Deepwater Flatfish,2021,,,,,,,
GOA,GOA Deepwater Flatfish,2022,,,,,,,
GOA,GOA Deepwater Flatfish,2023,2,1,1,1,2,,
GOA,GOA Deepwater Flatfish,2024,,,,,,,
GOA,GOA Demersal rockfish,2018,,,,,,,
GOA,GOA Demersal rockfish,2019,,,,,,,
GOA,GOA Demersal rockfish,2020,,,,,,,
GOA,GOA Demersal rockfish,2021,2,1,2,2,2,,0.22
GOA,GOA Demersal rockfish,2022,2,1,2,2,2,0.15,0.15
GOA,GOA Demersal rockfish,2023,,,,,,,
GOA,GOA demersal rockfish SEO,2024,2,1,2,3,3,0.2,
GOA,GOA demersal rockfish WG/CG/Y,2024,1,1,1,1,1,,
GOA,GOA Dusky rockfish,2018,,,,,,,
GOA,GOA Dusky rockfish,2019,,,,,,,
GOA,GOA Dusky rockfish,2020,2,1,1,1,2,,0.24
GOA,GOA Dusky rockfish,2021,,,,,,,0.22
GOA,GOA Dusky rockfish,2022,2,1,1,2,2,,
GOA,GOA Dusky rockfish,2023,,,,,,,
GOA,GOA Dusky rockfish,2024,2,1,1,1,2,,
GOA,GOA Flathead sole,2018,,,,,,,
GOA,GOA Flathead sole,2019,,,,,,,
GOA,GOA Flathead sole,2020,,,,,,,
GOA,GOA Flathead sole,2021,,,,,,,
