year,region,total_risk_tables,stocks_with_elevated_scores,stocks_without_elevated_scores,stocks_with_author_recommended_reductions,stocks_with_reductions
2018,Alaska,5,4,1,4,4
2019,Alaska,18,10,8,3,4
2020,Alaska,28,14,14,2,3
2021,Alaska,18,11,7,2,5
2022,Alaska,25,14,11,6,5
2023,Alaska,16,11,5,5,7
2024,Alaska,26,13,13,3,
2018,BSAI,2,1,1,1,1
2019,BSAI,7,4,3,1,2
2020,BSAI,20,9,11,1,1
2021,BSAI,7,5,2,2,2
2022,BSAI,16,9,7,5,4
2023,BSAI,7,5,2,4,5
2024,BSAI,17,9,8,2,
2018,GOA,3,3,0,3,3
2019,GOA,11,6,5,2,2
2020,GOA,8,5,3,1,2
2021,GOA,11,6,5,0,3
2022,GOA,9,5,4,1,1
2023,GOA,9,6,3,1,2
2024,GOA,9,4,5,1,
